id,PROVINCE_ID,PROVINCE_NAME,LAT,LNG
1,11,Samut Prakan,13.596769,100.599976
2,12,Nonthaburi,13.859433,100.516556
3,13,Pathum Thani,14.017123,100.53786
4,14,Ayutthaya,14.365455,100.57672
5,15,Ang Thong,14.585654,100.4556
6,16,Lop Buri,14.79491,100.65579
7,17,Sing Buri,14.885142,100.4074
8,18,Chai Nat,15.185018,100.12362
9,19,Saraburi,14.528159,100.90985
10,20,Chon Buri,13.358921,100.98306
11,21,Rayong,12.665293,101.27694
12,22,Chanthaburi,12.606921,102.10642
13,23,Trat,12.228845,102.515465
14,24,Chachoengsao,13.685816,101.07356
15,25,Prachin Buri,14.04783,101.368614
16,26,Nakhon Nayok,14.200139,101.22015
17,27,Sa Kaeo,13.807835,102.0756
18,30,Nakhon Ratchasima,14.96781,102.10318
19,31,Buri Ram,14.990225,103.12151
20,32,Surin,14.878217,103.49606
21,33,Si Sa Ket,15.117215,104.32535
22,34,Ubon Ratchathani,15.227574,104.85668
23,35,Yasothon,15.79098,104.142975
24,36,Chaiyaphum,15.714391,102.00251
25,37,Amnat Charoen,15.853885,104.66385
26,39,Nong Bua Lam Phu,17.147596,102.45802
27,40,Khon Kaen,16.425688,102.83805
28,41,Udon Thani,17.410704,102.78915
29,42,at all,17.487993,101.71854
30,43,Nong Khai,17.875902,102.74353
31,44,Maha Sarakham,16.177353,103.30332
32,45,Roi Et,16.049734,103.657684
33,46,Kalasin,16.429235,103.509026
34,47,Sakon Nakhon,17.175856,104.16306
35,48,Nakhon Phanom,17.40791,104.78175
36,49,Mukdahan,16.534685,104.71705
37,50,Chiang Mai,18.742174,98.98862
38,51,Lamphun,18.57497,99.01327
39,52,Lampang,18.29186,99.5045
40,53,Uttaradit,17.62196,100.09905
41,54,spread,18.142246,100.1448
42,55,Nan,18.790178,100.7316
43,56,Phayao,19.188332,99.880775
44,57,Chiang Rai,19.90513,99.835
45,58,Mae Hong Son,19.300562,97.97967
46,60,Nakhon Sawan,15.701983,100.1404
47,61,Uthai Thani,15.376214,100.02775
48,62,Kamphaeng Phet,16.480867,99.523735
49,63,dry,16.878332,99.12675
50,64,Sukhothai,17.005058,99.82579
51,65,Phitsanulok,16.821161,100.26231
52,66,Phichit,16.43887,100.351974
53,67,Phetchabun,16.43975,101.15124
54,70,Ratchaburi,13.535442,99.825264
55,71,Kanchanaburi,14.00094,99.55282
56,72,Suphan Buri,14.471783,100.1218
57,73,Nakhon Pathom,13.816595,100.06864
58,74,Samut Sakhon,13.545533,100.276665
59,75,Samut Songkhram,13.410918,100.00587
60,76,Phetchaburi,13.10826,99.94651
61,77,Prachuap Khiri Khan,11.808488,99.79586
62,80,Nakhon Si Thammarat,8.416734,99.965576
63,81,Krabi,8.057903,98.92104
64,82,Phangnga,8.462873,98.537575
65,83,Phuket,7.886502,98.38765
66,84,Surat Thani,9.139904,99.33994
67,85,Ranong,9.964415,98.63598
68,86,Chumphon,10.490044,99.181854
69,90,Songkhla,7.175085,100.61652
70,91,Satun,6.643756,100.0892
71,92,Trang,7.556272,99.605705
72,93,Phatthalung,7.616055,100.07519
73,94,Pattani,6.866001,101.26268
74,95,Yala,6.538448,101.284225
75,96,Narathiwat,6.422755,101.82576
76,38,Buengkan,18.353657,103.65629
